[13:09:34] last: 
[13:12:46] last: 
[13:15:57] last: 
[13:19:08] last: 
[13:22:19] last: iter     1 | steps      32,768 | SPS      45 | r_p0 +1.000 r_p1 -1.000 | clip_frac 0.134 | KL 0.0106 | H_fire 0.036 H_ang 4.18 H_ship 2.63 | V_loss 0.0016 | LR 0.000100 | early_stop=0
[13:25:30] last: iter     2 | steps      65,536 | SPS      78 | r_p0 -0.778 r_p1 +0.778 | clip_frac 0.162 | KL 0.0128 | H_fire 0.094 H_ang 4.20 H_ship 2.64 | V_loss 0.0023 | LR 0.000100 | early_stop=0
[13:28:41] last: iter     2 | steps      65,536 | SPS      78 | r_p0 -0.778 r_p1 +0.778 | clip_frac 0.162 | KL 0.0128 | H_fire 0.094 H_ang 4.20 H_ship 2.64 | V_loss 0.0023 | LR 0.000100 | early_stop=0
[13:31:52] last: iter     2 | steps      65,536 | SPS      78 | r_p0 -0.778 r_p1 +0.778 | clip_frac 0.162 | KL 0.0128 | H_fire 0.094 H_ang 4.20 H_ship 2.64 | V_loss 0.0023 | LR 0.000100 | early_stop=0
[13:35:06] last: iter     4 | steps     131,072 | SPS      86 | r_p0 -1.000 r_p1 +1.000 | clip_frac 0.231 | KL 0.0187 | H_fire 0.265 H_ang 4.19 H_ship 2.64 | V_loss 0.0029 | LR 0.000100 | early_stop=0
[13:38:26] last: iter     7 | steps     229,376 | SPS     134 | r_p0 -0.950 r_p1 +0.950 | clip_frac 0.257 | KL 0.0296 | H_fire 0.233 H_ang 4.15 H_ship 2.45 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[13:41:37] last: iter     7 | steps     229,376 | SPS     134 | r_p0 -0.950 r_p1 +0.950 | clip_frac 0.257 | KL 0.0296 | H_fire 0.233 H_ang 4.15 H_ship 2.45 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[13:44:48] last: iter     7 | steps     229,376 | SPS     134 | r_p0 -0.950 r_p1 +0.950 | clip_frac 0.257 | KL 0.0296 | H_fire 0.233 H_ang 4.15 H_ship 2.45 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[13:48:02] last: iter     7 | steps     229,376 | SPS     134 | r_p0 -0.950 r_p1 +0.950 | clip_frac 0.257 | KL 0.0296 | H_fire 0.233 H_ang 4.15 H_ship 2.45 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[13:51:13] last: iter     7 | steps     229,376 | SPS     134 | r_p0 -0.950 r_p1 +0.950 | clip_frac 0.257 | KL 0.0296 | H_fire 0.233 H_ang 4.15 H_ship 2.45 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[13:54:25] last: iter     7 | steps     229,376 | SPS     134 | r_p0 -0.950 r_p1 +0.950 | clip_frac 0.257 | KL 0.0296 | H_fire 0.233 H_ang 4.15 H_ship 2.45 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[13:57:41] last: iter     9 | steps     294,912 | SPS     101 | r_p0 +0.310 r_p1 -0.310 | clip_frac 0.255 | KL 0.0150 | H_fire 0.118 H_ang 4.18 H_ship 2.58 | V_loss 0.0012 | LR 0.000100 | early_stop=0
[14:00:52] last: iter    10 | steps     327,680 | SPS     108 | r_p0 +0.340 r_p1 -0.340 | clip_frac 0.263 | KL 0.0476 | H_fire 0.255 H_ang 4.18 H_ship 2.59 | V_loss 0.0022 | LR 0.000100 | early_stop=1
[14:04:02] last: iter     1 | steps      32,768 | SPS     640 | r_p0 +0.000 r_p1 +0.000 | clip_frac 0.138 | KL 0.0112 | H_fire 0.036 H_ang 4.18 H_ship 2.63 | V_loss 0.0011 | LR 0.000100 | early_stop=0
[14:07:13] last: iter     5 | steps     163,840 | SPS     634 | r_p0 +0.238 r_p1 -0.238 | clip_frac 0.311 | KL 0.0251 | H_fire 0.394 H_ang 4.18 H_ship 2.57 | V_loss 0.0015 | LR 0.000100 | early_stop=0
[14:10:31] last: iter     8 | steps     262,144 | SPS     623 | r_p0 +0.260 r_p1 -0.260 | clip_frac 0.335 | KL 0.0239 | H_fire 0.164 H_ang 4.14 H_ship 2.44 | V_loss 0.0046 | LR 0.000100 | early_stop=0
[14:13:42] last: iter     9 | steps     294,912 | SPS     625 | r_p0 +0.250 r_p1 -0.250 | clip_frac 0.317 | KL 0.0144 | H_fire 0.072 H_ang 4.19 H_ship 2.65 | V_loss 0.0012 | LR 0.000100 | early_stop=0
[14:16:53] last: iter     9 | steps     294,912 | SPS     625 | r_p0 +0.250 r_p1 -0.250 | clip_frac 0.317 | KL 0.0144 | H_fire 0.072 H_ang 4.19 H_ship 2.65 | V_loss 0.0012 | LR 0.000100 | early_stop=0
[14:20:03] last: iter     9 | steps     294,912 | SPS     625 | r_p0 +0.250 r_p1 -0.250 | clip_frac 0.317 | KL 0.0144 | H_fire 0.072 H_ang 4.19 H_ship 2.65 | V_loss 0.0012 | LR 0.000100 | early_stop=0
[14:23:13] last: iter     9 | steps     294,912 | SPS     625 | r_p0 +0.250 r_p1 -0.250 | clip_frac 0.317 | KL 0.0144 | H_fire 0.072 H_ang 4.19 H_ship 2.65 | V_loss 0.0012 | LR 0.000100 | early_stop=0
[14:26:25] last: iter     9 | steps     294,912 | SPS     625 | r_p0 +0.250 r_p1 -0.250 | clip_frac 0.317 | KL 0.0144 | H_fire 0.072 H_ang 4.19 H_ship 2.65 | V_loss 0.0012 | LR 0.000100 | early_stop=0
[14:29:36] last: iter     9 | steps     294,912 | SPS     625 | r_p0 +0.250 r_p1 -0.250 | clip_frac 0.317 | KL 0.0144 | H_fire 0.072 H_ang 4.19 H_ship 2.65 | V_loss 0.0012 | LR 0.000100 | early_stop=0
[14:32:47] last: iter    10 | steps     327,680 | SPS     202 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.308 | KL 0.0163 | H_fire 0.164 H_ang 4.18 H_ship 2.61 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[14:35:57] last: iter    10 | steps     327,680 | SPS     202 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.308 | KL 0.0163 | H_fire 0.164 H_ang 4.18 H_ship 2.61 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[14:39:08] last: iter    10 | steps     327,680 | SPS     202 | r_p0 +0.240 r_p1 -0.240 | clip_frac 0.308 | KL 0.0163 | H_fire 0.164 H_ang 4.18 H_ship 2.61 | V_loss 0.0020 | LR 0.000100 | early_stop=0
