/opt/pytorch/lib/python3.12/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Training on device: cuda
Parallel envs: 512
Rollout steps: 64
Batch per update: 65536  (T=64 x N=512 x P=2 players)
PPO config: lr=0.0001, ppo_epochs=2, num_minibatches=32, kl_target=0.05
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO: Successfully loaded OpenSpiel environments: 24.
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_amazons
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_backgammon
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_checkers
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_chess
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_clobber
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_coin_game
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_coin_game_arena
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_connect_four
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_dark_hex
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_gin_rummy
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_go
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_goofspiel
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_hearts
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_hex
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_lines_of_action
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_matching_pennies_3p
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_oshi_zumo
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_othello
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_repeated_game
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_tic_tac_toe
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_y
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_universal_poker
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_repeated_poker
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    open_spiel_python_repeated_pokerkit
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO: OpenSpiel games skipped: 1.
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO:    snake
Model params: 307,482
Resumed from checkpoints/torch_step_10027008.pt
LR schedule: warmup=0 updates (skip_warmup=True), total_updates=195264, peak_lr=0.0001
Baseline policy snapshotted for periodic eval.


Starting self-play training (target 100,000,000 env steps)
======================================================================
iter     1 | steps      32,768 | SPS   1,190 | r_p0 +0.000 r_p1 +0.000 | clip_frac 0.097 | KL 0.0084 | H_fire 0.025 H_ang 4.17 H_ship 2.59 | V_loss 0.0014 | LR 0.000100 | early_stop=0
iter     2 | steps      65,536 | SPS   1,200 | r_p0 +0.000 r_p1 +0.000 | clip_frac 0.117 | KL 0.0074 | H_fire 0.097 H_ang 4.16 H_ship 2.58 | V_loss 0.0013 | LR 0.000100 | early_stop=0
iter     3 | steps      98,304 | SPS   1,204 | r_p0 +0.200 r_p1 -0.200 | clip_frac 0.182 | KL 0.0102 | H_fire 0.229 H_ang 4.17 H_ship 2.61 | V_loss 0.0012 | LR 0.000100 | early_stop=0
iter     4 | steps     131,072 | SPS   1,205 | r_p0 -0.143 r_p1 +0.143 | clip_frac 0.238 | KL 0.0111 | H_fire 0.325 H_ang 4.17 H_ship 2.62 | V_loss 0.0012 | LR 0.000100 | early_stop=0
iter     5 | steps     163,840 | SPS   1,205 | r_p0 -0.077 r_p1 +0.077 | clip_frac 0.275 | KL 0.0135 | H_fire 0.374 H_ang 4.17 H_ship 2.61 | V_loss 0.0012 | LR 0.000100 | early_stop=0
iter     6 | steps     196,608 | SPS   1,205 | r_p0 +0.048 r_p1 -0.048 | clip_frac 0.309 | KL 0.0267 | H_fire 0.369 H_ang 4.17 H_ship 2.58 | V_loss 0.0020 | LR 0.000100 | early_stop=0
iter     7 | steps     229,376 | SPS   1,279 | r_p0 -0.083 r_p1 +0.083 | clip_frac 0.333 | KL 0.0500 | H_fire 0.331 H_ang 4.15 H_ship 2.55 | V_loss 0.0021 | LR 0.000100 | early_stop=1
iter     8 | steps     262,144 | SPS   1,233 | r_p0 +0.140 r_p1 -0.140 | clip_frac 0.327 | KL 0.0270 | H_fire 0.220 H_ang 4.13 H_ship 2.54 | V_loss 0.0081 | LR 0.000100 | early_stop=0
  ★ best updated: reward=+0.140
iter     9 | steps     294,912 | SPS   1,230 | r_p0 +0.140 r_p1 -0.140 | clip_frac 0.302 | KL 0.0070 | H_fire 0.046 H_ang 4.16 H_ship 2.58 | V_loss 0.0015 | LR 0.000100 | early_stop=0
iter    10 | steps     327,680 | SPS   1,228 | r_p0 +0.130 r_p1 -0.130 | clip_frac 0.290 | KL 0.0077 | H_fire 0.128 H_ang 4.16 H_ship 2.59 | V_loss 0.0011 | LR 0.000100 | early_stop=0
iter    11 | steps     360,448 | SPS   1,226 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.296 | KL 0.0128 | H_fire 0.236 H_ang 4.17 H_ship 2.61 | V_loss 0.0012 | LR 0.000100 | early_stop=0
iter    12 | steps     393,216 | SPS   1,225 | r_p0 +0.100 r_p1 -0.100 | clip_frac 0.309 | KL 0.0163 | H_fire 0.313 H_ang 4.17 H_ship 2.62 | V_loss 0.0013 | LR 0.000100 | early_stop=0
iter    13 | steps     425,984 | SPS   1,223 | r_p0 +0.110 r_p1 -0.110 | clip_frac 0.320 | KL 0.0157 | H_fire 0.355 H_ang 4.17 H_ship 2.60 | V_loss 0.0017 | LR 0.000100 | early_stop=0
iter    14 | steps     458,752 | SPS   1,222 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.331 | KL 0.0156 | H_fire 0.350 H_ang 4.15 H_ship 2.58 | V_loss 0.0022 | LR 0.000100 | early_stop=0
