Watching instance i-0ebc2d020a22781d3 at 54.173.24.124
Local sync target: /Users/saheb/home/kaggle-orbit-wars/gpu_run_artifacts
Polling every 3 min. Will terminate on detection of 'Training complete' or 'Early stop'.
---
[2026-05-23 09:30:04] iter 1  ckpts_local=8  last: iter     2 | steps      65,536 | SPS     658 | r_p0 +0.000 r_p1 +0.000 | clip_frac 0.131 | KL 0.0090 | H_fire 0.096 H_ang 4.16 H_ship 2.58 | V_loss 0.0012 | LR 0.000100 | early_stop=0
[2026-05-23 09:33:15] iter 2  ckpts_local=8  last: 
[2026-05-23 09:36:25] iter 3  ckpts_local=8  last: iter     7 | steps     229,376 | SPS   1,279 | r_p0 -0.083 r_p1 +0.083 | clip_frac 0.333 | KL 0.0500 | H_fire 0.331 H_ang 4.15 H_ship 2.55 | V_loss 0.0021 | LR 0.000100 | early_stop=1
[2026-05-23 09:39:37] iter 4  ckpts_local=8  last: iter    14 | steps     458,752 | SPS   1,222 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.331 | KL 0.0156 | H_fire 0.350 H_ang 4.15 H_ship 2.58 | V_loss 0.0022 | LR 0.000100 | early_stop=0
[2026-05-23 09:42:51] iter 5  ckpts_local=8  last: iter    21 | steps     688,128 | SPS   1,204 | r_p0 +0.270 r_p1 -0.270 | clip_frac 0.310 | KL 0.0152 | H_fire 0.361 H_ang 4.17 H_ship 2.60 | V_loss 0.0017 | LR 0.000100 | early_stop=0
[2026-05-23 09:46:08] iter 6  ckpts_local=8  last: iter    28 | steps     917,504 | SPS   1,194 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.295 | KL 0.0145 | H_fire 0.354 H_ang 4.17 H_ship 2.61 | V_loss 0.0017 | LR 0.000100 | early_stop=0
[2026-05-23 09:49:18] iter 7  ckpts_local=8  last: iter    35 | steps   1,146,880 | SPS   1,188 | r_p0 +0.270 r_p1 -0.270 | clip_frac 0.289 | KL 0.0133 | H_fire 0.302 H_ang 4.17 H_ship 2.59 | V_loss 0.0015 | LR 0.000100 | early_stop=0
[2026-05-23 09:52:28] iter 8  ckpts_local=8  last: iter    42 | steps   1,376,256 | SPS   1,185 | r_p0 +0.100 r_p1 -0.100 | clip_frac 0.286 | KL 0.0108 | H_fire 0.223 H_ang 4.17 H_ship 2.59 | V_loss 0.0019 | LR 0.000100 | early_stop=0
[2026-05-23 09:55:38] iter 9  ckpts_local=8  last: iter    48 | steps   1,572,864 | SPS   1,182 | r_p0 +0.220 r_p1 -0.220 | clip_frac 0.296 | KL 0.0104 | H_fire 0.085 H_ang 4.17 H_ship 2.58 | V_loss 0.0011 | LR 0.000100 | early_stop=0
[2026-05-23 09:58:48] iter 10  ckpts_local=8  last: iter    56 | steps   1,835,008 | SPS   1,180 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.300 | KL 0.0098 | H_fire 0.117 H_ang 4.17 H_ship 2.58 | V_loss 0.0013 | LR 0.000100 | early_stop=0
[2026-05-23 10:02:08] iter 11  ckpts_local=8  last: iter    62 | steps   2,031,616 | SPS   1,182 | r_p0 +0.200 r_p1 -0.200 | clip_frac 0.305 | KL 0.0177 | H_fire 0.221 H_ang 4.12 H_ship 2.51 | V_loss 0.0034 | LR 0.000100 | early_stop=0
[2026-05-23 10:05:18] iter 12  ckpts_local=8  last: iter    69 | steps   2,260,992 | SPS   1,180 | r_p0 +0.220 r_p1 -0.220 | clip_frac 0.305 | KL 0.0145 | H_fire 0.231 H_ang 4.12 H_ship 2.52 | V_loss 0.0025 | LR 0.000100 | early_stop=0
[2026-05-23 10:08:28] iter 13  ckpts_local=8  last: iter    76 | steps   2,490,368 | SPS   1,180 | r_p0 +0.090 r_p1 -0.090 | clip_frac 0.311 | KL 0.0151 | H_fire 0.248 H_ang 4.14 H_ship 2.54 | V_loss 0.0031 | LR 0.000100 | early_stop=0
[2026-05-23 10:11:39] iter 14  ckpts_local=8  last: iter    83 | steps   2,719,744 | SPS   1,179 | r_p0 +0.070 r_p1 -0.070 | clip_frac 0.319 | KL 0.0119 | H_fire 0.264 H_ang 4.15 H_ship 2.57 | V_loss 0.0031 | LR 0.000100 | early_stop=0
[2026-05-23 10:14:49] iter 15  ckpts_local=8  last: iter    90 | steps   2,949,120 | SPS   1,178 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.331 | KL 0.0122 | H_fire 0.266 H_ang 4.16 H_ship 2.59 | V_loss 0.0022 | LR 0.000100 | early_stop=0
[2026-05-23 10:18:00] iter 16  ckpts_local=8  last: iter    96 | steps   3,145,728 | SPS   1,177 | r_p0 +0.090 r_p1 -0.090 | clip_frac 0.329 | KL 0.0141 | H_fire 0.210 H_ang 4.16 H_ship 2.59 | V_loss 0.0019 | LR 0.000100 | early_stop=0
[2026-05-23 10:21:10] iter 17  ckpts_local=8  last: iter   103 | steps   3,375,104 | SPS   1,176 | r_p0 +0.020 r_p1 -0.020 | clip_frac 0.331 | KL 0.0123 | H_fire 0.171 H_ang 4.17 H_ship 2.59 | V_loss 0.0016 | LR 0.000100 | early_stop=0
[2026-05-23 10:24:20] iter 18  ckpts_local=8  last: iter   110 | steps   3,604,480 | SPS   1,176 | r_p0 +0.000 r_p1 +0.000 | clip_frac 0.337 | KL 0.0115 | H_fire 0.159 H_ang 4.17 H_ship 2.58 | V_loss 0.0025 | LR 0.000100 | early_stop=0
[2026-05-23 10:27:31] iter 19  ckpts_local=8  last: iter   117 | steps   3,833,856 | SPS   1,175 | r_p0 +0.210 r_p1 -0.210 | clip_frac 0.345 | KL 0.0147 | H_fire 0.198 H_ang 4.15 H_ship 2.53 | V_loss 0.0033 | LR 0.000100 | early_stop=0
[2026-05-23 10:30:41] iter 20  ckpts_local=8  last: iter   124 | steps   4,063,232 | SPS   1,176 | r_p0 +0.090 r_p1 -0.090 | clip_frac 0.351 | KL 0.0145 | H_fire 0.226 H_ang 4.15 H_ship 2.54 | V_loss 0.0034 | LR 0.000100 | early_stop=0
[2026-05-23 10:33:52] iter 21  ckpts_local=8  last: iter   130 | steps   4,259,840 | SPS   1,175 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.355 | KL 0.0156 | H_fire 0.237 H_ang 4.16 H_ship 2.56 | V_loss 0.0031 | LR 0.000100 | early_stop=0
[2026-05-23 10:37:03] iter 22  ckpts_local=8  last: iter   137 | steps   4,489,216 | SPS   1,175 | r_p0 +0.080 r_p1 -0.080 | clip_frac 0.353 | KL 0.0155 | H_fire 0.240 H_ang 4.16 H_ship 2.54 | V_loss 0.0020 | LR 0.000100 | early_stop=0
[2026-05-23 10:40:13] iter 23  ckpts_local=8  last: iter   144 | steps   4,718,592 | SPS   1,175 | r_p0 +0.180 r_p1 -0.180 | clip_frac 0.348 | KL 0.0147 | H_fire 0.243 H_ang 4.16 H_ship 2.55 | V_loss 0.0020 | LR 0.000099 | early_stop=0
[2026-05-23 10:43:23] iter 24  ckpts_local=8  last: iter   151 | steps   4,947,968 | SPS   1,175 | r_p0 +0.140 r_p1 -0.140 | clip_frac 0.345 | KL 0.0119 | H_fire 0.223 H_ang 4.17 H_ship 2.56 | V_loss 0.0017 | LR 0.000099 | early_stop=0
[2026-05-23 10:46:33] iter 25  ckpts_local=8  last: iter   158 | steps   5,177,344 | SPS   1,171 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.343 | KL 0.0123 | H_fire 0.210 H_ang 4.17 H_ship 2.57 | V_loss 0.0018 | LR 0.000099 | early_stop=0
[2026-05-23 10:50:16] iter 26  ckpts_local=8  last: iter   165 | steps   5,406,720 | SPS   1,171 | r_p0 +0.120 r_p1 -0.120 | clip_frac 0.343 | KL 0.0119 | H_fire 0.209 H_ang 4.17 H_ship 2.57 | V_loss 0.0019 | LR 0.000099 | early_stop=0
[2026-05-23 10:53:27] iter 27  ckpts_local=8  last: iter   172 | steps   5,636,096 | SPS   1,171 | r_p0 +0.200 r_p1 -0.200 | clip_frac 0.346 | KL 0.0124 | H_fire 0.202 H_ang 4.17 H_ship 2.55 | V_loss 0.0026 | LR 0.000099 | early_stop=0
[2026-05-23 10:56:37] iter 28  ckpts_local=8  last:   ★ best updated: reward=+0.380
[2026-05-23 10:59:53] iter 29  ckpts_local=8  last: iter   186 | steps   6,094,848 | SPS   1,171 | r_p0 +0.060 r_p1 -0.060 | clip_frac 0.345 | KL 0.0116 | H_fire 0.220 H_ang 4.17 H_ship 2.54 | V_loss 0.0020 | LR 0.000099 | early_stop=0
[2026-05-23 11:03:07] iter 30  ckpts_local=8  last: iter   193 | steps   6,324,224 | SPS   1,171 | r_p0 +0.000 r_p1 +0.000 | clip_frac 0.342 | KL 0.0152 | H_fire 0.228 H_ang 4.18 H_ship 2.55 | V_loss 0.0030 | LR 0.000099 | early_stop=0
[2026-05-23 11:06:17] iter 31  ckpts_local=8  last: iter   199 | steps   6,520,832 | SPS   1,171 | r_p0 +0.190 r_p1 -0.190 | clip_frac 0.339 | KL 0.0155 | H_fire 0.226 H_ang 4.17 H_ship 2.54 | V_loss 0.0029 | LR 0.000099 | early_stop=0
[2026-05-23 11:09:27] iter 32  ckpts_local=8  last: iter   206 | steps   6,750,208 | SPS   1,171 | r_p0 +0.080 r_p1 -0.080 | clip_frac 0.336 | KL 0.0152 | H_fire 0.226 H_ang 4.18 H_ship 2.54 | V_loss 0.0025 | LR 0.000099 | early_stop=0
[2026-05-23 11:12:38] iter 33  ckpts_local=8  last: iter   213 | steps   6,979,584 | SPS   1,171 | r_p0 +0.130 r_p1 -0.130 | clip_frac 0.334 | KL 0.0137 | H_fire 0.212 H_ang 4.17 H_ship 2.55 | V_loss 0.0021 | LR 0.000099 | early_stop=0
[2026-05-23 11:15:48] iter 34  ckpts_local=8  last: iter   220 | steps   7,208,960 | SPS   1,171 | r_p0 -0.060 r_p1 +0.060 | clip_frac 0.332 | KL 0.0158 | H_fire 0.223 H_ang 4.17 H_ship 2.55 | V_loss 0.0025 | LR 0.000099 | early_stop=0
[2026-05-23 11:19:00] iter 35  ckpts_local=8  last: iter   227 | steps   7,438,336 | SPS   1,171 | r_p0 +0.220 r_p1 -0.220 | clip_frac 0.328 | KL 0.0123 | H_fire 0.219 H_ang 4.18 H_ship 2.56 | V_loss 0.0024 | LR 0.000099 | early_stop=0
[2026-05-23 11:22:10] iter 36  ckpts_local=8  last: iter   233 | steps   7,634,944 | SPS   1,171 | r_p0 +0.150 r_p1 -0.150 | clip_frac 0.328 | KL 0.0129 | H_fire 0.221 H_ang 4.17 H_ship 2.55 | V_loss 0.0018 | LR 0.000099 | early_stop=0
[2026-05-23 11:25:20] iter 37  ckpts_local=8  last: iter   240 | steps   7,864,320 | SPS   1,171 | r_p0 +0.020 r_p1 -0.020 | clip_frac 0.331 | KL 0.0138 | H_fire 0.231 H_ang 4.17 H_ship 2.56 | V_loss 0.0027 | LR 0.000098 | early_stop=0
[2026-05-23 11:28:31] iter 38  ckpts_local=8  last: iter   247 | steps   8,093,696 | SPS   1,171 | r_p0 +0.100 r_p1 -0.100 | clip_frac 0.336 | KL 0.0151 | H_fire 0.234 H_ang 4.18 H_ship 2.57 | V_loss 0.0034 | LR 0.000098 | early_stop=0
[2026-05-23 11:31:41] iter 39  ckpts_local=8  last: iter   254 | steps   8,323,072 | SPS   1,171 | r_p0 +0.180 r_p1 -0.180 | clip_frac 0.338 | KL 0.0144 | H_fire 0.235 H_ang 4.17 H_ship 2.55 | V_loss 0.0022 | LR 0.000098 | early_stop=0
[2026-05-23 11:34:52] iter 40  ckpts_local=8  last: iter   261 | steps   8,552,448 | SPS   1,171 | r_p0 +0.100 r_p1 -0.100 | clip_frac 0.334 | KL 0.0123 | H_fire 0.221 H_ang 4.17 H_ship 2.54 | V_loss 0.0028 | LR 0.000098 | early_stop=0
[2026-05-23 11:38:03] iter 41  ckpts_local=8  last: iter   268 | steps   8,781,824 | SPS   1,171 | r_p0 +0.080 r_p1 -0.080 | clip_frac 0.330 | KL 0.0131 | H_fire 0.218 H_ang 4.17 H_ship 2.55 | V_loss 0.0019 | LR 0.000098 | early_stop=0
